filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
photos3_001.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,Photo displays two police officers by University of Tehran on Student Day.,عکس دو مامور پلیس را کنار دانشگاه تهران در روز دانشجو نشان میدهد.,Riot Police,پلیس ضد شورش,,,Police by University of Tehran,پلیس کنار دانشگاه تهران,still image,"35.689198, 51.388974",color photographs,عکس
photos3_002.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,Photo displays the protest on student day.,عکس تظاهرات در روز دانشجو را نشان میدهد.,Protest,تظاهرات,,,Student Day Protest,تظاهرات روز دانشجو,still image,"35.689198, 51.388974",color photographs,عکس
photos3_003.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,Photo displays the protest on student day.,عکس تظاهرات در روز دانشجو را نشان میدهد.,Protest,تظاهرات,,,Student Day Protest,تظاهرات روز دانشجو,still image,"35.689198, 51.388974",color photographs,عکس
photos3_004.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,Photo displays the protest on student day.,عکس تظاهرات در روز دانشجو را نشان میدهد.,Protest,تظاهرات,,,Student Day Protest,تظاهرات روز دانشجو,still image,"35.689198, 51.388974",color photographs,عکس
photos3_005.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Amirkabir University of Technology,دانشگاه صنعتی امیرکبیر,Tehran,تهران,Iran,ایران,Photo displays a student protest at Amirkabir University on Student Day.,عکس تظاهرات دانشجویان در دانشگاه امیرکبیر در روز دانشجو را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Amirkabir University,تظاهرات در دانشگاه امیرکبیر,still image,"35.704086, 51.409169",color photographs,عکس
photos3_006.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Amirkabir University of Technology,دانشگاه صنعتی امیرکبیر,Tehran,تهران,Iran,ایران,Photo displays a student protest at Amirkabir University on Student Day.,عکس تظاهرات دانشجویان در دانشگاه امیرکبیر در روز دانشجو را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Amirkabir University,تظاهرات در دانشگاه امیرکبیر,still image,"35.704086, 51.409169",color photographs,عکس
photos3_007.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Amirkabir University of Technology,دانشگاه صنعتی امیرکبیر,Tehran,تهران,Iran,ایران,Photo displays a student protest at Amirkabir University on Student Day.,عکس تظاهرات دانشجویان در دانشگاه امیرکبیر در روز دانشجو را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Amirkabir University,تظاهرات در دانشگاه امیرکبیر,still image,"35.704086, 51.409169",color photographs,عکس
photos3_008.jpg,۱۳۸۸,2009,2009,,,,,Italy,ایتالیا,Photo displays Bernardo Bertolucci wearing a green wristband in solidarity with Iranian prosecuted filmmakers Jafar Panahi and Mohammad Rasoulof and the Green Movement.,عکس برناردو برتولوچی کارگردان ایتالیایی را با دستبندی سبز در همبستگی با جعفر پناهی، محمد رسولف، و جنبش سبز نشان میدهد.,Freedom of Art / Global Support for Iran,آزادی هنری / حمایت جهانی برای ایران,Bernardo Bertolucci / Jafar Panahi / Mohammad Rasoulof,برناردو برتولوچی / جعفر پناهی / محمد رسولف,Italian Director Supports Green Movement ,حمایت کارگردان ایتالیایی از جنبش سبز,still image,,color photographs,عکس
photos3_009.jpg,۱۳۸۸,2009,2009,,,,,Italy,ایتالیا,Photo displays Italo Spinelli wearing a green wristband in solidarity with Iranian prosecuted filmmakers Jafar Panahi and Mohammad Rasoulof and the Green Movement.,عکس ایتالو اسپینلی کارگردان ایتالیایی را با دستبندی سبز در همبستگی با جعفر پناهی، محمد رسولف، و جنبش سبز نشان میدهد.,Freedom of Art / Global Support for Iran,آزادی هنری / حمایت جهانی برای ایران,Italo Spinelli / Jafar Panahi / Mohammad Rasoulof,ایتالو اسپینلی / جعفر پناهی / محمد رسولف,Italian Director Supports Green Movement ,حمایت کارگردان ایتالیایی از جنبش سبز,still image,,color photographs,عکس
photos3_010.jpg,۱۳۸۸,2009,2009,,,,,Iran,ایران,Photo displays an Iranian Rial note with slogans supporting the Green Movement written on it.,عکس یک اسکناس ریال را با شعارهای نوشته بر آن در حمایت از جنبش سبز نشان میدهد.,Symbolic Resistance,مقاومت نمادین,,,Slogans on Currency Notes,شعار نویسی روی اسکناس,still image,,color photographs,عکس
