filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
mirface_0009.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Tehran University of Art,دانشگاه هنر,Tehran,تهران,Iran,ایران,The photo displays students protesting at Tehran University of Art.,این عکس تظاهرات دانشجویان در دانشگاه هنر را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Tehran University of Art,تظاهرات در دانشگاه هنر,image,"35.703671, 51.406199",photographs,عکس
mirface_0010.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Tehran University of Art,دانشگاه هنر,Tehran,تهران,Iran,ایران,"The photo displays students protesting at Tehran University of Art. Basij forces have blocked the gate preventing from the protestors joining others from Amirkabir University, which is in close proximity.",این عکس تظاهرات دانشجویان در دانشگاه هنر را نشان میدهد. نیروهای بسیج مانع خروج دانشجویان از دانشگاه و پیوستن به تظاهرکنندگان از دانشگاه امیرکبیر که در نزدیکی است میشوند.,Student Movement,جنبش دانشجویی,,,Protest at Tehran University of Art,تظاهرات در دانشگاه هنر,image,"35.703671, 51.406199",photographs,عکس
mirface_0011.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Tehran University of Art,دانشگاه هنر,Tehran,تهران,Iran,ایران,"The photo displays students protesting at Tehran University of Art. Basij forces have blocked the gate preventing from the protestors joining others from Amirkabir University, which is in close proximity.",این عکس تظاهرات دانشجویان در دانشگاه هنر را نشان میدهد. نیروهای بسیج مانع خروج دانشجویان از دانشگاه و پیوستن به تظاهرکنندگان از دانشگاه امیرکبیر که در نزدیکی است میشوند.,Student Movement,جنبش دانشجویی,,,Protest at Tehran University of Art,تظاهرات در دانشگاه هنر,image,"35.703671, 51.406199",photographs,عکس
mirface_0012.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Tehran University of Art,دانشگاه هنر,Tehran,تهران,Iran,ایران,"The photo displays students protesting at Tehran University of Art. Basij forces have blocked the gate preventing from the protestors joining others from Amirkabir University, which is in close proximity.",این عکس تظاهرات دانشجویان در دانشگاه هنر را نشان میدهد. نیروهای بسیج مانع خروج دانشجویان از دانشگاه و پیوستن به تظاهرکنندگان از دانشگاه امیرکبیر که در نزدیکی است میشوند.,Student Movement,جنبش دانشجویی,,,Protest at Tehran University of Art,تظاهرات در دانشگاه هنر,image,"35.703671, 51.406199",photographs,عکس
mirface_0014.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Iran University of Science and Technology,دانشگاه علم و صنعت ایران,Tehran,تهران,Iran,ایران,The photo displays students protesting at Iran University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه علم و صنعت را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Iran University of Science and Technology,تظاهرات در دانشگاه علم و صنعت,image,"35.742931, 51.498983",photographs,عکس
mirface_0015.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Iran University of Science and Technology,دانشگاه علم و صنعت ایران,Tehran,تهران,Iran,ایران,The photo displays students protesting at Iran University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه علم و صنعت را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Iran University of Science and Technology,تظاهرات در دانشگاه علم و صنعت,image,"35.742931, 51.498983",photographs,عکس
mirface_0016.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Iran University of Science and Technology,دانشگاه علم و صنعت ایران,Tehran,تهران,Iran,ایران,The photo displays students protesting at Iran University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه علم و صنعت را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Iran University of Science and Technology,تظاهرات در دانشگاه علم و صنعت,image,"35.742931, 51.498983",photographs,عکس
mirface_0017.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Iran University of Science and Technology,دانشگاه علم و صنعت ایران,Tehran,تهران,Iran,ایران,The photo displays students protesting at Iran University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه علم و صنعت را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Iran University of Science and Technology,تظاهرات در دانشگاه علم و صنعت,image,"35.742931, 51.498983",photographs,عکس
mirface_0018.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Iran University of Science and Technology,دانشگاه علم و صنعت ایران,Tehran,تهران,Iran,ایران,The photo displays students protesting at Iran University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه علم و صنعت را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Iran University of Science and Technology,تظاهرات در دانشگاه علم و صنعت,image,"35.742931, 51.498983",photographs,عکس
mirface_0019.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Iran University of Science and Technology,دانشگاه علم و صنعت ایران,Tehran,تهران,Iran,ایران,The photo displays students protesting at Iran University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه علم و صنعت را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Iran University of Science and Technology,تظاهرات در دانشگاه علم و صنعت,image,"35.742931, 51.498983",photographs,عکس
mirface_0020.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Iran University of Science and Technology,دانشگاه علم و صنعت ایران,Tehran,تهران,Iran,ایران,The photo displays students protesting at Iran University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه علم و صنعت را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Iran University of Science and Technology,تظاهرات در دانشگاه علم و صنعت,image,"35.742931, 51.498983",photographs,عکس
mirface_0021.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0022.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0023.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0024.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0025.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0026.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0027.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0028.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0029.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0030.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0031.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی شریف,Tehran,تهران,Iran,ایران,The photo displays students protesting at Sharif University of Technology.,این عکس تظاهرات دانشجویان در دانشگاه صنعتی شریف را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Sharif University,تظاهرات در دانشگاه شریف,image,"35.703637, 51.351593",photographs,عکس
mirface_0033.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Zanjan,دانشگاه زنجان,Zanjan,زنجان,Iran,ایران,The photo displays students protesting at the University of Zanjan.,این عکس تظاهرات دانشجویان در دانشگاه زنجان را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Zanjan,تظاهرات در دانشگاه زنجان,image,"36.683005, 48.508721",photographs,عکس
mirface_0034.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Zanjan,دانشگاه زنجان,Zanjan,زنجان,Iran,ایران,The photo displays students protesting at the University of Zanjan.,این عکس تظاهرات دانشجویان در دانشگاه زنجان را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Zanjan,تظاهرات در دانشگاه زنجان,image,"36.683005, 48.508721",photographs,عکس
mirface_0035.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Zanjan,دانشگاه زنجان,Zanjan,زنجان,Iran,ایران,The photo displays students protesting at the University of Zanjan.,این عکس تظاهرات دانشجویان در دانشگاه زنجان را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Zanjan,تظاهرات در دانشگاه زنجان,image,"36.683005, 48.508721",photographs,عکس
mirface_0036.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Zanjan,دانشگاه زنجان,Zanjan,زنجان,Iran,ایران,The photo displays students protesting at the University of Zanjan.,این عکس تظاهرات دانشجویان در دانشگاه زنجان را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Zanjan,تظاهرات در دانشگاه زنجان,image,"36.683005, 48.508721",photographs,عکس
mirface_0038.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays riot police forces by the entrance to the University of Tehran.,این عکس نیروهای پلیس ضد شورش را کنار ورودی دانشگاه تهران نشان میدهد.,Student Movement / Riot Police,جنبش دانشجویی / پلیس ضد شورش,,,Riot Police at University of Tehran,نیروهای انتظامی در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0039.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays riot police forces by the entrance to the University of Tehran.,این عکس نیروهای پلیس ضد شورش را کنار ورودی دانشگاه تهران نشان میدهد.,Student Movement / Riot Police,جنبش دانشجویی / پلیس ضد شورش,,,Riot Police at University of Tehran,نیروهای انتظامی در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0040.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays riot police forces by the entrance to the University of Tehran.,این عکس نیروهای پلیس ضد شورش را کنار ورودی دانشگاه تهران نشان میدهد.,Student Movement / Riot Police,جنبش دانشجویی / پلیس ضد شورش,,,Riot Police at University of Tehran,نیروهای انتظامی در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0041.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays the protest at University of Tehran on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه تهران را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Tehran,تظاهرات در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0042.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays the protest at University of Tehran on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه تهران را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Tehran,تظاهرات در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0043.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays the protest at University of Tehran on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه تهران را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Tehran,تظاهرات در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0044.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays the protest at University of Tehran on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه تهران را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Tehran,تظاهرات در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0045.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays the protest at University of Tehran on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه تهران را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Tehran,تظاهرات در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0046.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays the protest at University of Tehran on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه تهران را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Tehran,تظاهرات در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0047.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,The photo displays the protest at University of Tehran on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه تهران را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at University of Tehran,تظاهرات در دانشگاه تهران,image,"35.705808, 51.402091",photographs,عکس
mirface_0049.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,K. N. Toosi University of Technology,دانشگاه صنعتی خواجه نصیر الدین طوسی,Tehran,تهران,Iran,ایران,The photo displays the protest at K. N. Toosi University of Technology on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه خواجه نصیر را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at K. N. Toosi University,تظاهرات در دانشگاه خواجه نصیر,image,"35.762705, 51.412785",photographs,عکس
mirface_0050.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,K. N. Toosi University of Technology,دانشگاه صنعتی خواجه نصیر الدین طوسی,Tehran,تهران,Iran,ایران,The photo displays the protest at K. N. Toosi University of Technology on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه خواجه نصیر را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at K. N. Toosi University,تظاهرات در دانشگاه خواجه نصیر,image,"35.762705, 51.412785",photographs,عکس
mirface_0051.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,K. N. Toosi University of Technology,دانشگاه صنعتی خواجه نصیر الدین طوسی,Tehran,تهران,Iran,ایران,The photo displays the protest at K. N. Toosi University of Technology on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه خواجه نصیر را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at K. N. Toosi University,تظاهرات در دانشگاه خواجه نصیر,image,"35.762705, 51.412785",photographs,عکس
mirface_0052.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,K. N. Toosi University of Technology,دانشگاه صنعتی خواجه نصیر الدین طوسی,Tehran,تهران,Iran,ایران,The photo displays the protest at K. N. Toosi University of Technology on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه خواجه نصیر را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at K. N. Toosi University,تظاهرات در دانشگاه خواجه نصیر,image,"35.762705, 51.412785",photographs,عکس
mirface_0053.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,K. N. Toosi University of Technology,دانشگاه صنعتی خواجه نصیر الدین طوسی,Tehran,تهران,Iran,ایران,The photo displays the protest at K. N. Toosi University of Technology on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه خواجه نصیر را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at K. N. Toosi University,تظاهرات در دانشگاه خواجه نصیر,image,"35.762705, 51.412785",photographs,عکس
mirface_0054.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,K. N. Toosi University of Technology,دانشگاه صنعتی خواجه نصیر الدین طوسی,Tehran,تهران,Iran,ایران,The photo displays the protest at K. N. Toosi University of Technology on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه خواجه نصیر را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at K. N. Toosi University,تظاهرات در دانشگاه خواجه نصیر,image,"35.762705, 51.412785",photographs,عکس
mirface_0056.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Bu-Ali Sina University,دانشگاه بو علی سینا,Hamadan,همدان,Iran,ایران,The photo displays the protest at Bu-Ali Sina Univeristy on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه بو علی سینا را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Bu-Ali Sina University,تظاهرات در دانشگاه بو علی سینا,image,"34.79114, 48.489817",photographs,عکس
mirface_0057.tif,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Bu-Ali Sina University,دانشگاه بو علی سینا,Hamadan,همدان,Iran,ایران,The photo displays the protest at Bu-Ali Sina Univeristy on Student Day.,این عکس تظاهرات روز دانشجو در دانشگاه بو علی سینا را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Bu-Ali Sina University,تظاهرات در دانشگاه بو علی سینا,image,"34.79114, 48.489817",photographs,عکس
